Date,Open,High,Low,Close,Adj Close,Volume
2010-10-19,151000.000000,151000.000000,147000.000000,147000.000000,136179.328125,472834
2010-10-20,145500.000000,149000.000000,144500.000000,148500.000000,137568.906250,372062
2010-10-21,149500.000000,153000.000000,146500.000000,153000.000000,141737.656250,563975
2010-10-22,153000.000000,154500.000000,152000.000000,153500.000000,142200.859375,408560
2010-10-25,153500.000000,153500.000000,150000.000000,150500.000000,139421.703125,481794
2010-10-26,150000.000000,154000.000000,147500.000000,154000.000000,142664.062500,579457
2010-10-27,154500.000000,155500.000000,151500.000000,154000.000000,142664.062500,435995
2010-10-28,155500.000000,158500.000000,154500.000000,158000.000000,146369.625000,899356
2010-10-29,158000.000000,158000.000000,153500.000000,154500.000000,143127.265625,373394
2010-11-01,156000.000000,157500.000000,154000.000000,155500.000000,144053.640625,336080
2010-11-02,156500.000000,159500.000000,156000.000000,157500.000000,145906.421875,560603
2010-11-03,159500.000000,160000.000000,154000.000000,154500.000000,143127.265625,549938
2010-11-04,154500.000000,157500.000000,153000.000000,153500.000000,142200.859375,455409
2010-11-05,156500.000000,157000.000000,153500.000000,154500.000000,143127.265625,438756
2010-11-08,160000.000000,160000.000000,157500.000000,159000.000000,147296.000000,716305
2010-11-09,159000.000000,159000.000000,156500.000000,159000.000000,147296.000000,289266
2010-11-10,159500.000000,163000.000000,159000.000000,163000.000000,151001.578125,718030
2010-11-11,164000.000000,169500.000000,163500.000000,167000.000000,154707.140625,1300590
2010-11-12,169000.000000,170000.000000,162500.000000,167000.000000,154707.140625,829045
2010-11-15,166000.000000,170000.000000,163000.000000,168500.000000,156096.718750,566403
2010-11-16,169500.000000,170000.000000,167000.000000,168000.000000,155633.500000,426784
2010-11-17,167000.000000,169500.000000,166000.000000,168500.000000,156096.718750,368063
2010-11-18,170000.000000,171500.000000,169000.000000,169500.000000,157023.093750,368393
2010-11-19,171000.000000,173500.000000,171000.000000,172500.000000,159802.265625,498847
2010-11-22,174000.000000,175000.000000,173000.000000,175000.000000,162118.250000,771705
2010-11-23,175000.000000,176000.000000,169000.000000,173000.000000,160265.468750,660755
2010-11-24,168500.000000,171000.000000,167000.000000,169000.000000,156559.921875,778469
2010-11-25,172000.000000,172500.000000,169000.000000,171000.000000,158412.687500,352206
2010-11-26,170500.000000,171500.000000,165000.000000,168500.000000,156096.718750,389199
2010-11-29,167500.000000,170000.000000,165500.000000,167000.000000,154707.140625,274100
2010-11-30,167500.000000,167500.000000,162000.000000,165500.000000,153317.546875,522878
2010-12-01,164000.000000,165000.000000,161000.000000,163500.000000,151464.765625,474484
2010-12-02,166500.000000,170500.000000,166000.000000,170000.000000,157486.312500,522342
2010-12-03,171500.000000,171500.000000,167000.000000,169500.000000,157023.093750,378122
2010-12-06,170500.000000,176000.000000,169000.000000,174000.000000,161191.890625,734818
2010-12-07,176500.000000,179000.000000,174500.000000,176500.000000,163507.828125,957237
2010-12-08,177000.000000,179000.000000,176500.000000,177500.000000,164434.218750,427278
2010-12-09,178000.000000,179000.000000,175500.000000,179000.000000,165823.812500,463963
